domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
www.cisema.com.cn/login.htm?us.battle.net/login/en/?ref=ktpgagrus.battle.net/d3/en/index&amp;app=com-d3,10000000,0,1,5479,103,0,0,0,17,3,1
pastehtml.com/view/ba81cjdhb.html,44061,0,1,4017,33,0,0,0,13,1,1
screenname-my.9f.com/cgi/aol/,220200,0,1,8035,29,0,0,1,20,2,1
www.albaylasanart.com/demo/data1/fr/fr/paypal/09cfad40bf37b7a5c0aa1fa27950aecc/,10000000,0,0,0,79,0,0,0,21,2,1
86info.ru/wp-content/upgrade/aolupdate.htm,10000000,0,1,365,42,0,0,0,9,1,1
www.nukespam.org/OptInInc.html,10000000,0,1,7305,30,0,0,0,16,2,0
www.cpiano.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,6089,0,1,7670,112,0,0,0,14,2,1
www.icssnj.com/images/Presets/pt9.phishtank.com/,740733,0,1,7157,48,0,0,0,14,2,1
www.ssdidimdol.org/_notes/properties/index.htm,10000000,0,0,0,46,0,0,0,18,2,1
ps3.gamespy.com/playstation-3/ratchet-clank-next/,11812,0,1,8767,49,0,0,0,15,2,0
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cr04JnnyMX2nuBFi0_2oL5SwTG5YQfmNsKJZ3-lArD5fUbbiyuICR7-QnyUYsNiuHCB9jsPs3uuNeJsWkcIuM0gnu9uUDAiywDKtiYaoHNIY-l4bO0x06kOYoK9LQLoiJDEctWMZ59UCI8XsXa0iTxQhJQEIh08KtMQ37KZhYU4w0cmWcea0ft6GYg3QfdAclp55hTsGbEHf1nI84MRq66iTE0IiA\%3D\%3D&amp;attredirects=0,4570,0,1,6939,369,0,0,1,44,2,1
en.wikipedia.org/wiki/POP-11,6,0,1,8035,28,0,0,0,16,2,0
www.estampatuimagen.cl/wp-content/plugins/contact-form-7/languages/stampcion/Logon.html,10000000,0,0,0,87,0,0,0,22,2,1
service.confirm.paypal.cmd.cgi-bin.9678sd2f8e657sqd2e6d88sd8ad62s3d24e6d4sd8e74ds4d3d.dsqd542426d5e9d27s.fdsf751e3d44715sde8d74s2d.d755d83566e84d5d.d15d2435989s8d5ed.284658d6ds8855.belitungindah.com/14a275c90279b1da25c652f5ad583272/web?885db116fdbfb21918z87hgo97yhhxa5120312838zxaze716236156a1a4f7bfbc7e962b84c131920653ed56a1a4f7bfbc7e962b84c131920653ed,10000000,0,1,3288,353,0,0,1,198,12,1
www.developerfusion.com/tag/php/,25233,0,1,6940,32,0,0,0,23,2,0
paypal.com.cgi.bin.webscr.cmd.flow.session.lohzumu98pjkwkwudgtj3ie6btlub.online775885d80a13c0db1f8e263663d3faee8d43b1bb6ca3ufquez.login.efzg5epalogin.styllustaxiarapiraca.com.br/0281b35388219fc36a87bc978fb78227/,10000000,0,0,0,211,0,0,0,177,14,1
arfhand.0fees.net/,25715,0,1,4749,18,0,0,0,17,2,1
www.angelfire.com/wa/Division5/index.html,2547,0,1,8035,41,0,0,0,17,2,0
www.scielo.br/pdf/aabc/v74n3/v74n3a06.pdf,12991,0,0,0,41,0,0,0,13,2,0
www.devin.com/ieblock_howto.shtml,10000000,0,1,8767,33,0,0,0,13,2,0
www.wired.com/techbiz/it/magazine/16-10/mf_chrome,801,0,1,10591,49,0,0,0,13,2,0
www.2345yc.com//wp-includes/pomo/loginpage.htm,10000000,0,1,2192,46,0,1,0,14,2,1
www.21stcentury.co.uk/robotics/,590430,0,0,0,31,0,0,0,21,3,0
pastehtml.com/view/bat213zup.html,44061,0,1,4017,33,0,0,0,13,1,1
frenchkitchens.net.au/www.paypal/,10000000,0,0,0,33,0,0,0,21,2,1
www.networkworld.com/ee2/2003/1110appfw.html,9621,0,1,9131,44,0,0,0,20,2,0
mark-westcott.com/adminpanel/FCKeditor/editor/filemanager/upload/php/private/allaccounts/cc/refund.htm,10000000,0,1,3653,102,0,0,1,17,1,1
www.execusite.com/reedcpa/welcome.html,10000000,0,1,8635,38,0,0,0,17,2,0
www772.paypal.co.uk.12193.ssl-320.mx/js/webapps/uk/mpp/?cmnd=_lg&pageName=system_email_PP772,10000000,0,0,0,92,0,0,1,36,6,1
www.discovergames.com/Bump.html,10000000,0,1,8400,31,0,0,0,21,2,0
soldierforever.com/.tbt/Www.PayPal.fr4/Langue&amp;id=FR-fr/c0aeae66fdbfb2119927117e3a6765c403f4977abcf/cmd=_login-submit&amp;dispatch=5885d80a13c0db1fb6947/info_updating/paypal/,10000000,0,0,0,177,0,0,0,18,1,1
tools.ietf.org/html/rfc3750,14969,0,1,9133,27,0,0,0,14,2,0
primwood.se/broschyrer/Redirect.php,10000000,0,0,0,35,0,0,0,11,1,1
www.zhengdasw.com/images/?us.battle.net/login/en/?ref=buqvnbdus.battle.net/d3/en/index&amp;app=com-d3,10000000,0,1,3653,101,0,0,0,17,2,1
www.cearadesignfull.xpg.com.br/,10000000,0,1,6940,31,0,0,0,30,4,1
tools.ietf.org/html/rfc2493,14969,0,1,9133,27,0,0,0,14,2,0
vantagensfidelidade.com/cadastro.php,10000000,0,0,0,36,0,0,0,23,1,1
alexbucatarladomiciliu.ro/tlstra/www.telstra.com.au/billing/action/payment/Onlinepayment/Update/,10000000,0,0,0,96,0,0,0,25,1,1
login-yahoo.com.tezio.com.co/config/login_verify1/ar.php,10000000,0,1,4382,56,0,0,1,28,4,1
www.paypal.co.uk.8954.secure-821.mx/images/cgi.bin/uk/web.scr/?cmnd=_lg&nav=bb4a41b37a65584679ac36301fbd1172,10000000,0,0,0,108,0,0,1,35,6,1
leduo80.com/ppl/Paypal.it/forms/windhoek_tours/78ddd5f6f6249dd59bd013df134ac378/Confirm.php?cmd=_Confirm&,10000000,0,0,0,105,0,0,0,11,1,1
www.bobgoodman.net/main/glossary.html,10000000,0,1,7670,37,0,0,0,18,2,0
www.jimpowell.com/VideoProductions.htm,10000000,0,1,8400,38,0,0,0,17,2,0
members.multimania.co.uk/johnnymorgan001/,133900,0,0,0,41,0,0,0,24,3,0
www.galttech.com/zip.html,171002,0,1,10959,25,0,0,0,16,2,0
www.mpiturbo.com/form/use/TechnicalSupport/form1.html,10000000,0,1,3288,53,0,0,0,16,2,1
faculty.tamu-commerce.edu/jdavis/railroad/symposium/,661013,0,0,0,52,0,0,1,25,2,0
gfggffgg.hostzi.com/,40618,0,1,4383,20,0,0,0,19,2,1
tools.ietf.org/html/rfc69,14969,0,1,9133,25,0,0,0,14,2,0
login.03884.maxkz.com/login-error.php?login=acf773abe8af414893476601436e6332,10000000,0,0,0,76,0,0,0,21,3,1
fatalhost.com.br/paypal/,10000000,0,0,0,24,0,0,0,16,2,1
www.bactrian.org/~carlton/,10000000,0,0,0,26,0,0,0,16,2,0
www.nhoug.info/page/index.php?pid=57,10000000,0,0,0,36,0,0,0,14,2,1
www.alcq.com.au/wp-includes/personal/logon/custom1.php,10000000,0,0,0,54,0,0,0,15,3,1
centrocommercialeilporto.it/tmp/paypal.co.uk/security/update/id124758365/,10000000,0,1,4748,73,0,0,0,27,1,1
www.lanshack.com/Data-Voice-Tools-Testers-C67.aspx,440893,0,1,10593,50,0,0,0,16,2,0
www.ibm.com/developerworks/java/library/j-ejbexcept.html,576,0,1,12419,56,0,0,0,11,2,0
tools.ietf.org/html/rfc1143,14969,0,1,9133,27,0,0,0,14,2,0
pastehtml.com/view/b8oghhx3p.html,44061,0,1,4017,33,0,0,0,13,1,1
